5TG,800 SUPER HOLDINGS LIMITED
E25,8TELECOM INTL HOLDINGS CO LTD
5GZ,AA GROUP HOLDINGS LTD.
A35,ABF SPORE BOND INDEX FUND ETF
L5I,ABTERRA LTD
A75,ACE ACHIEVE INFOCOM LIMITED
A02,ACHIEVA LIMITED
A01,ACMA LTD.
A59,ACTION ASIA LIMITED
A31,ADDVALUE TECHNOLOGIES LTD
A54,ADV INTEGRATED MFG CORP LTD
5FH,ADVANCE SCT LIMITED
5IA,ADVANCED HOLDINGS LTD.
5TY,ADVANCED SYSTEMS AUTOMATION
5EF,ADVENTUS HOLDINGS LIMITED
A18,AEI CORPORATION LTD
A10,AEM HOLDINGS LTD
O5RU,AIMS AMP CAP INDUSTRIAL REIT
5IB,ALBEDO LIMITED
A13,ALLIED TECHNOLOGIES LIMITED
A34,AMARA HOLDINGS LTD
C60,AMPLEFIELD LIMITED
M1P,AMTEK ENGINEERING LTD
MF5,ANCHUN INTERNATIONAL HLDGS LTD
A52,ANNAIK LIMITED
5AL,ANNICA HOLDINGS LIMITED
G5X,ANWELL TECHNOLOGIES LIMITED
5AU,AP OIL INTERNATIONAL LIMITED
D1R,ARA ASSET MANAGEMENT LIMITED
5EK,ARMARDA GROUP LIMITED
A14,ARMSTRONG INDUSTRIAL CORP LTD
5NK,ARTIVISION TECHNOLOGIES LTD.
Q1P,ASCENDAS HOSPITALITY TRUST
CY6U,ASCENDAS INDIA TRUST
A17U,ASCENDAS REAL ESTATE INV TRUST
A68U,ASCOTT RESIDENCE TRUST
A55,ASIA ENTERPRISES HOLDING LTD
GH3,ASIA FASHION HOLDINGS LIMITED
A03,ASIA POWER CORP LTD
585,ASIAN MICRO HOLDINGS LTD
S9AU,ASIAN PAY TELEVISION  TRUST 1
S7OU,ASIAN PAY TELEVISION TRUST
5RA,ASIA-PACIFIC STRATEGIC INV LTD
5ET,ASIASONS CAPITAL LIMITED
5CR,ASIATIC GROUP (HOLDINGS) LTD
5AM,ASIATRAVEL.COM HOLDINGS LTD
538,ASJ HOLDINGS LTD
A04,ASL MARINE HOLDINGS LTD
A53,A-SONIC AEROSPACE LIMITED
A30,ASPIAL CORPORATION LIMITED
575,ASTI HOLDINGS LIMITED
5UL,ATLANTIC NAVIGATION HLDG(S)LTD
A23,AURIC PACIFIC GROUP LIMITED
5GJ,AUSGROUP LIMITED
A15,AUSSINO GROUP LTD
O2I,AVIC INTL MARITIME HLDGLIMITED
CT1,AVI-TECH ELECTRONICS LIMITED
A69,AZEUS SYSTEMS HOLDINGS LTD.
B26,BAN LEONG TECHNOLOGIES LIMITED
